"2.0.0"
"ExecType","Date","SerialNo","Brand","PnP","Destination","IP","Host","Storage","FileName","FileID","TotalItem","NumOfOkItem","ResultCode","ResultName","Identifier"
"EXPORT"
"2022-04-05T14:26:54-07:00"
"C768R611024"
"RICOH"
"MP C2004ex"
"1"
"192.168.0.210"
"SLO-Ricoh"
"PC"
"20220405142654C768R611024.csv"
"20220405142654C768R611024"
"4075    "
"4075    "
"0  "
"SUCCESS                         "
"ModuleID","PrefID","Item","NgCode","NgName"

"11","80700000","Help Functions","0","SUCCEEDED"
"11","80500001","Default Setting","0","SUCCEEDED"
"11","80500002","Customize Setting","0","SUCCEEDED"
"11","80200001","Default Setting","0","SUCCEEDED"
"11","80000001","Default Setting","0","SUCCEEDED"
"11","80000002","Program 1 name","0","SUCCEEDED"
"11","80000003","Program 1 icon","0","SUCCEEDED"
"11","80000004","Program 1 data","0","SUCCEEDED"
"11","80000005","Program 2 name","0","SUCCEEDED"
"11","80000006","Program 2 icon","0","SUCCEEDED"
"11","80000007","Program 2 data","0","SUCCEEDED"
"11","80000008","Program 3 name","0","SUCCEEDED"
"11","80000009","Program 3 icon","0","SUCCEEDED"
"11","80000010","Program 3 data","0","SUCCEEDED"
"11","80000011","Program 4 name","0","SUCCEEDED"
"11","80000012","Program 4 icon","0","SUCCEEDED"
"11","80000013","Program 4 data","0","SUCCEEDED"
"11","80000014","Program 5 name","0","SUCCEEDED"
"11","80000015","Program 5 icon","0","SUCCEEDED"
"11","80000016","Program 5 data","0","SUCCEEDED"
"11","80000017","Program 6 name","0","SUCCEEDED"
"11","80000018","Program 6 icon","0","SUCCEEDED"
"11","80000019","Program 6 data","0","SUCCEEDED"
"11","80000020","Program 7 name","0","SUCCEEDED"
"11","80000021","Program 7 icon","0","SUCCEEDED"
"11","80000022","Program 7 data","0","SUCCEEDED"
"11","80000023","Program 8 name","0","SUCCEEDED"
"11","80000024","Program 8 icon","0","SUCCEEDED"
"11","80000025","Program 8 data","0","SUCCEEDED"
"11","80000026","Program 9 name","0","SUCCEEDED"
"11","80000027","Program 9 icon","0","SUCCEEDED"
"11","80000028","Program 9 data","0","SUCCEEDED"
"11","80000029","Program 10 name","0","SUCCEEDED"
"11","80000030","Program 10 icon","0","SUCCEEDED"
"11","80000031","Program 10 data","0","SUCCEEDED"
"11","80000032","Program 11 name","0","SUCCEEDED"
"11","80000033","Program 11 icon","0","SUCCEEDED"
"11","80000034","Program 11 data","0","SUCCEEDED"
"11","80000035","Program 12 name","0","SUCCEEDED"
"11","80000036","Program 12 icon","0","SUCCEEDED"
"11","80000037","Program 12 data","0","SUCCEEDED"
"11","80000038","Program 13 name","0","SUCCEEDED"
"11","80000039","Program 13 icon","0","SUCCEEDED"
"11","80000040","Program 13 data","0","SUCCEEDED"
"11","80000041","Program 14 name","0","SUCCEEDED"
"11","80000042","Program 14 icon","0","SUCCEEDED"
"11","80000043","Program 14 data","0","SUCCEEDED"
"11","80000044","Program 15 name","0","SUCCEEDED"
"11","80000045","Program 15 icon","0","SUCCEEDED"
"11","80000046","Program 15 data","0","SUCCEEDED"
"11","80000047","Program 16 name","0","SUCCEEDED"
"11","80000048","Program 16 icon","0","SUCCEEDED"
"11","80000049","Program 16 data","0","SUCCEEDED"
"11","80000050","Program 17 name","0","SUCCEEDED"
"11","80000051","Program 17 icon","0","SUCCEEDED"
"11","80000052","Program 17 data","0","SUCCEEDED"
"11","80000053","Program 18 name","0","SUCCEEDED"
"11","80000054","Program 18 icon","0","SUCCEEDED"
"11","80000055","Program 18 data","0","SUCCEEDED"
"11","80000056","Program 19 name","0","SUCCEEDED"
"11","80000057","Program 19 icon","0","SUCCEEDED"
"11","80000058","Program 19 data","0","SUCCEEDED"
"11","80000059","Program 20 name","0","SUCCEEDED"
"11","80000060","Program 20 icon","0","SUCCEEDED"
"11","80000061","Program 20 data","0","SUCCEEDED"
"11","80000062","Program 21 name","0","SUCCEEDED"
